Year,Meningitis (deaths),Lower respiratory infections (deaths),Intestinal infectious diseases (deaths),Protein-energy malnutrition (deaths),Cardiovascular diseases (deaths),Dementia (deaths),Kidney disease (deaths),Respiratory diseases (deaths),Liver diseases (deaths),Digestive diseases (deaths),Hepatitis (deaths),Cancers (deaths),Parkinson disease (deaths),Fire (deaths),Drowning (deaths),Homicide (deaths),HIV/AIDS (deaths),Drug use disorders (deaths),Tuberculosis (deaths),Road injuries (deaths),Maternal disorders (deaths),Neonatal disorders (deaths),Alcohol use disorders (deaths),Diarrheal diseases (deaths),Heat (hot and cold exposure) (deaths),Nutritional deficiencies (deaths),Suicide (deaths),Diabetes (deaths),Poisonings (deaths)
1990,56.75520387,1482.69723,0.64670522,3.710415302,42957.79322,4751.044278,2591.575307,2911.358041,1598.317671,2691.553338,8.163598646,21237.88862,695.2441991,162.2280678,282.6787609,116.6776565,38.62977392,51.33096614,214.3811613,2238.571646,6.791259465,504.8974864,32.05831334,6.418878169,46.82474013,10.81707556,439.5326543,995.338408,36.95561681
1991,57.4230699,1507.376123,0.643414873,3.982896491,43810.90762,4953.894891,2628.493311,2891.375919,1598.290686,2703.001834,8.532728622,21904.57975,717.4727,158.1594548,290.111075,127.1729962,40.62371245,67.57184231,206.1336465,2296.955681,6.801300129,456.6965446,32.00229811,5.398359178,39.57289137,10.86072059,449.0905689,989.6900887,39.74242475
1992,61.02361361,1600.58382,0.643318088,4.280848321,44921.3313,5191.408799,2711.617973,2910.333907,1616.819997,2753.286422,9.663805752,22662.33333,743.3379729,154.9498588,294.069646,132.6651999,63.29450167,86.00212368,194.3115588,2335.438608,7.794302107,434.1220481,32.40879109,4.954217853,36.84724317,11.46896178,451.3745414,990.3538724,39.24574018
1993,64.60214515,1621.658092,0.636018185,4.233853739,44174.07702,5315.478762,2672.197606,2869.416708,1579.823212,2725.003259,11.51669312,22731.42239,746.8755407,145.93962,298.8231611,135.2346242,66.86485048,98.82662368,169.8955303,2291.358027,4.248027828,432.1568069,32.68134379,4.67470218,35.51314995,11.34565042,449.1057808,904.9463548,36.48954171
1994,69.52213051,1676.678234,0.635402432,4.222134663,44347.85545,5425.323201,2627.055185,2877.300059,1521.303714,2661.41645,17.15209906,22994.27994,754.8022939,137.3868176,309.8952111,137.2405095,72.77367414,134.6304312,147.3812201,2329.290036,5.156260204,424.876034,35.32073182,4.411805189,31.39452986,11.75793131,439.6734613,841.8075349,32.03867491
1995,73.45607417,1738.462061,0.636585356,4.106500947,45000.06895,5598.093138,2579.898407,2927.386751,1462.08112,2631.699584,25.54994894,23436.04138,767.6731153,130.9949305,324.7201312,142.7556784,65.23250922,170.8147306,134.515556,2374.117396,4.42682124,419.1780402,37.5415729,4.323558786,27.90142368,11.36195951,436.4009814,818.8727811,30.10410223
1996,74.12691632,1845.745962,0.633813974,3.971194587,45466.34219,5792.746731,2617.65026,2958.61827,1437.132416,2622.925876,31.46441196,23902.22807,780.3769517,125.5108033,336.7091313,148.1465164,59.74052743,203.1617668,124.2792842,2383.597234,6.585487984,395.6007982,37.69186855,4.356169754,29.98310739,10.93790693,433.9885862,811.8982461,29.86096302
1997,74.78780455,1925.04583,0.637386636,3.868074023,45166.18437,5895.610128,2554.597924,2932.721692,1380.128963,2578.387487,36.49807462,24064.06924,781.9050289,121.8206804,332.1174067,146.3926605,38.60703207,231.0377593,109.3484783,2306.568853,4.759167516,367.3737755,34.55875315,4.455407028,30.58020732,10.57230499,424.7742256,770.2576357,29.95917515
1998,74.4954428,2107.496622,0.641052074,3.589834615,46017.24192,6015.393633,2525.057212,2942.28725,1335.34626,2545.885428,45.32525849,24623.08873,795.7062844,117.7620386,342.6048482,141.0569061,42.34796679,253.2274786,103.9140168,2272.739505,8.656652754,353.4879207,31.61208939,4.715705811,34.62030254,9.607963712,425.8290723,749.4657643,32.97965566
1999,70.94880283,2212.01398,0.640911585,3.342674861,46709.67679,6127.359739,2600.235927,3032.680871,1314.213984,2555.046526,49.15120788,25365.90039,814.5902941,113.7989462,351.8233599,137.0826484,33.25460402,278.9035054,104.9992843,2248.96056,7.96552548,329.2237612,30.81252088,5.104861894,29.70650075,9.217838407,427.6187224,776.8566198,35.88582822
